	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"
"AT5G07810"	4.96	5.06	5.39	5.27	5.2	5.07	5.01	4.96	5.13	5.13	5.24	5.34	5.46	5.89	5.91	6	5.94	6
"AT5G07820"	6.47	6.39	6.2	6.19	6.11	6.16	6.32	6.03	6.08	5.84	5.72	5.59	5.44	5.21	5.26	5.15	5.13	5.06
"AT5G07830"	7.72	7.83	7.42	7.35	7.67	7.93	7.92	7.92	7.79	7.53	7.45	7.17	7.33	7.38	7.4	7.13	7.09	7.04
"AT5G07840"	6.66	6.79	6.72	6.69	6.63	6.72	6.57	6.64	6.53	6.7	6.67	6.41	6.04	6.09	6.03	6.02	5.99	6.03
"AT5G07860"	8.27	8.32	8.23	8.04	8.14	8.21	8.2	8.09	8.1	7.88	7.86	7.88	7.52	7.21	7.11	7.31	7.52	7.47
"AT5G07870"	8.14	8.19	8.28	8.22	8.25	8.05	8.05	7.74	7.77	7.44	7.52	7.65	7.29	6.95	6.76	7.03	7.02	7.43
"AT5G07890"	7.21	7.16	7.12	6.96	7.15	7.17	7.25	7.13	7.02	6.95	7.05	6.93	6.85	6.91	6.86	6.76	6.81	6.73
"AT5G07900"	4.96	5.16	5.14	5.15	5.45	5.53	5.61	5.77	5.63	5.4	5.75	5.68	5.94	5.97	6.1	6.1	6.07	6
"AT5G07910"	8.15	8.11	7.77	7.53	7.28	7.22	7.24	7.1	7.1	6.95	7.14	6.96	6.98	7.01	6.85	6.69	6.84	6.61
"AT5G07920"	7.97	7.71	7.84	7.95	7.85	7.7	7.52	7.64	7.59	7.52	7.31	7.49	7.34	7.28	7.13	6.92	6.88	6.94
"AT5G07950"	4.57	4.74	4.81	5.02	5.04	5.08	5.04	5.14	5.36	5.4	5.48	5.29	5.44	5.37	5.46	5.58	5.54	5.7
"AT5G07960"	9.61	9.42	9.47	9.27	9.39	9.3	9.38	9.45	9.4	9.38	9.44	9.42	9.46	9.56	9.75	9.79	9.93	10.01
"AT5G07990"	10.01	9.73	10.28	9.76	8.9	7.86	7.19	5.85	5.85	5.95	7.07	8.29	8.09	7.34	6.64	5.58	5.8	6.01
"AT5G08000"	4.62	4.72	4.5	4.67	4.44	4.57	4.46	4.38	4.4	4.41	4.4	4.48	4.62	4.61	4.73	4.61	4.6	4.59
"AT5G08010"	6.37	6.4	6.27	6.14	6.22	6.58	6.5	6.54	6.33	6.34	6.31	6.38	6.21	6.24	6.29	6.28	6.23	5.99
"AT5G08020"	4.81	4.95	5.57	6.1	6.39	6.64	6.58	6.67	6.93	6.83	7.02	7.03	7.47	7.76	7.87	7.96	7.85	7.84
"AT5G08040"	9.37	9.48	9.81	9.77	9.9	9.88	9.89	9.85	9.89	9.9	9.98	10.16	10.39	10.43	10.36	10.54	10.57	10.6
"AT5G08050"	8.99	8.73	8.87	8.71	8.56	8	7.56	6.47	6.32	6.96	7.69	8.24	7.94	7.53	6.68	6.14	6.4	6.41
"AT5G08060"	10.09	10.07	10.03	9.92	9.99	9.99	10.02	9.93	9.86	9.61	9.62	9.52	9.55	9.67	9.71	9.74	9.78	9.71
"AT5G08080"	8.83	8.87	8.66	8.51	8.39	8.4	8.37	8.45	8.37	8.33	8.44	8.41	8.36	8.39	8.32	8.24	8.22	8.24
"AT5G08100"	7.54	7.58	7.45	7.43	7.59	7.61	7.52	7.76	8	8.31	8.25	8.15	7.98	7.96	8.09	8.43	8.54	8.62
"AT5G08110"	5.43	5.48	5.65	5.5	5.67	5.57	5.55	5.46	5.41	5.2	5.32	5.36	5.33	5.34	5.32	5.36	5.3	5.28
"AT5G08120"	5.5	5.29	5.62	5.58	5.76	5.94	6.04	6.15	6.22	6.27	6.35	6.26	6.44	6.51	6.42	6.75	6.72	7.01
"AT5G08130"	7.21	7.17	7.29	7.47	7.58	7.41	7.48	7.45	7.53	7.3	7.49	7.59	7.25	6.89	7.01	7.16	7.14	7.35
"AT5G08160"	8.86	8.85	8.51	8.33	8.47	8.66	8.87	8.85	8.79	8.67	8.77	8.85	8.98	9.03	9.18	9.24	9.36	9.36
"AT5G08170"	6.83	6.74	6.8	7	7.02	6.94	7.1	7.18	7.11	7.12	7.26	7.14	7.33	7.48	7.53	7.67	7.55	7.58
"AT5G08180"	5.67	7.34	7.66	7.6	7.92	8.06	8.09	8.36	8.62	8.68	8.8	8.85	9.19	9.43	9.44	9.57	9.38	9.57
"AT5G08200"	6.13	6.13	5.98	5.76	5.97	5.96	6.04	5.9	5.83	5.48	5.7	5.61	5.45	5.46	5.57	5.2	5.43	5.52
"AT5G08210"	4.65	4.63	4.79	4.75	4.98	4.85	4.95	4.94	4.88	5.05	5.05	5.12	5.16	5	4.91	4.91	5.04	5.03
"AT5G08240"	9.19	9.1	9.44	9.64	9.54	9.44	9.52	9.43	9.58	9.69	9.62	9.41	9.13	8.87	8.75	8.41	8.56	8.56
"AT5G08250"	3.51	3.81	4.43	6.44	7.89	7.85	7.45	6.52	6.11	6.41	6.86	6.68	6.1	5.42	4.82	4.09	4.03	3.92
"AT5G08260"	6.75	6.59	6.51	6.49	6.95	7.61	8.29	8.63	8.62	8.43	8.26	8.21	8.25	8.37	8.37	8.12	8.11	8.05
"AT5G08270"	4.7	4.97	5	4.86	5.17	5.48	5.29	5.42	5.51	5.58	5.68	5.66	5.84	5.97	6.23	6.33	6.29	6.39
"AT5G08280"	8.35	8.35	8.25	8.17	8.19	8.16	8.12	8.01	8.04	7.85	7.84	7.88	7.89	7.91	7.79	7.89	7.86	7.94
"AT5G08290"	10.33	10.35	10.39	10.4	10.45	10.58	10.58	10.41	10.4	10.49	10.58	10.48	10.4	10.27	10.25	10.25	10.31	10.31
"AT5G08300"	10.66	10.78	10.76	10.68	10.61	10.7	10.78	10.72	10.6	10.37	10.49	10.46	10.71	10.88	10.86	10.95	10.93	10.96
"AT5G08310"	4.31	4.34	4.52	4.52	4.4	4.56	4.42	4.51	4.66	4.5	4.74	4.8	4.79	4.73	4.97	4.95	5.04	5.04
"AT5G08320"	6.27	6.23	6.04	6.12	6.21	6.32	6.44	6.46	6.48	6.59	6.66	6.67	6.8	6.8	6.91	7.1	6.95	7.06
"AT5G08330"	6.54	6.71	5.92	5.8	5.52	5.66	5.7	5.94	5.93	6.1	6.07	6.22	6.25	6.41	6.56	6.6	6.42	6.55
"AT5G08340"	4.66	4.65	4.73	4.39	4.7	4.73	4.85	4.92	4.85	4.96	4.81	4.78	4.67	4.76	4.63	4.85	4.9	5.04
"AT5G08350"	9.43	9.62	9.47	8.97	8.41	8.03	8.03	8.16	8.32	8.56	8.49	7.89	7.31	7.05	7.01	6.99	7.43	7.61
"AT5G08360"	5	5.31	5.36	5.45	5.58	5.63	5.67	5.76	5.8	5.76	5.84	5.67	5.85	6.13	6.17	5.91	6.01	5.66
"AT5G08370"	7	7.1	6.49	5.92	5.55	5.26	5.47	5.5	5.71	5.45	5.6	5.83	5.83	5.12	4.77	4.05	3.87	3.88
"AT5G08380"	3.99	4.37	4.87	5.28	5.95	5.94	5.96	6.1	6.36	6.47	6.23	5.68	5.62	5.5	5.31	5.67	5.74	5.72
"AT5G08390"	7.77	7.78	7.71	7.66	7.68	7.53	7.47	7.3	7.33	7.34	7.4	7.49	7.44	7.44	7.39	7.51	7.65	7.57
"AT5G08400"	4.68	4.6	4.9	5.02	5.29	5.26	5.18	5.32	5.5	5.3	5.43	5.38	5.62	5.65	5.77	5.7	5.96	5.86
"AT5G08410"	6.96	6.81	6.87	6.83	6.58	6.52	6.51	6.61	6.68	6.9	6.83	6.64	6.48	6.46	6.47	6.49	6.53	6.46
"AT5G08420"	6.63	6.89	7.09	7.19	7.29	7.32	7.47	7.62	7.77	7.78	7.83	7.91	8.22	8.34	8.57	8.7	8.4	8.38
"AT5G08450"	7.07	7.03	7.11	7.13	7.23	7.24	7.19	7.28	7.22	7.2	7.37	7.22	7.34	7.36	7.25	7.45	7.43	7.36
"AT5G08480"	4.02	4.04	3.64	3.65	3.81	3.82	4.21	4.01	4.08	4.2	3.95	4.04	3.73	3.68	3.7	3.49	3.32	3.37
"AT5G08500"	7.68	7.78	7.92	8.07	8.11	8.05	8.08	8.12	8.11	8.03	8.1	7.95	8.02	8.11	7.94	7.93	7.96	7.85
"AT5G08510"	4.82	5.01	5.37	5.19	5.36	5.27	5.47	5.18	5.33	5.18	5.29	5.39	5.32	5.54	5.65	5.58	5.7	5.74
"AT5G08520"	7.58	7.61	7.36	7.19	7	6.84	6.69	6.9	7.03	7.36	7.11	6.92	6.71	6.61	6.66	6.97	6.95	6.91
"AT5G08530"	10.76	10.79	10.8	10.83	10.94	10.82	10.78	10.55	10.46	10.39	10.43	10.45	10.41	10.3	10.39	10.31	10.42	10.41
"AT5G08540"	6.07	6.25	6.61	6.75	7.07	7.08	7.28	7.39	7.54	7.3	7.34	7.24	7.2	7.32	7.33	7.6	7.56	7.6
"AT5G08560"	9.66	9.69	9.74	9.59	9.76	9.61	9.54	9.54	9.43	9.4	9.36	9.46	9.33	9.28	9.26	9.22	9.18	9.17
"AT5G08570"	9.2	9.32	9.66	9.62	9.73	9.7	9.71	9.84	9.61	9.11	9.1	9.23	9.45	9.58	9.73	9.72	9.83	9.83
"AT5G08580"	5.41	5.59	5.94	6.22	6.54	6.58	6.69	6.77	6.96	6.82	6.99	7.11	7.22	7.32	7.6	7.8	7.71	7.85
"AT5G08590"	6.69	6.54	6.88	7.18	7.6	7.74	7.84	7.73	7.62	7.75	7.83	7.97	7.97	8.04	8.14	8.33	8.4	8.5
"AT5G08600"	4.09	5.08	4.23	3.97	3.86	4.01	4.16	4.19	4.57	4.33	4.64	4.39	5.07	5.19	5.28	5.69	5.43	5.48
"AT5G08610"	4.14	5.08	5.48	5.14	5.48	5.44	5.47	5.32	5.63	5.57	5.77	5.92	6.5	6.65	6.84	6.88	6.96	7.06
"AT5G08620"	5.14	6.57	6.94	6.84	7.17	7.28	7.41	7.62	7.82	7.74	7.99	8.02	8.33	8.61	8.66	8.83	8.68	8.82
"AT5G08630"	5.56	5.59	5.3	5.57	5.44	5.7	5.57	5.74	5.72	5.76	5.8	5.78	5.84	5.98	5.81	5.8	5.91	6
"AT5G08640"	12.21	12.06	12.31	11.98	11.57	10.83	10.22	8.11	8.02	8.3	9.72	11.03	11.3	11.12	10.49	9.43	9.43	9.79
"AT5G08650"	5.47	5.32	5.8	5.72	5.71	5.65	5.67	5.52	5.56	5.46	5.68	5.54	5.35	5.47	5.5	5.36	5.35	5.29
"AT5G08740"	6.7	6.52	6.57	6.62	6.41	6.45	6.4	6.14	6.31	6	6.39	6.23	6.26	6.22	6.2	6.17	6.16	6.31
"AT5G08750"	7.93	7.71	7.49	6.96	7.14	7.08	7.09	7.13	6.79	6.47	6.4	6.29	6.51	6.5	6.53	6.34	6.48	6.5
"AT5G09220"	9.88	9.62	10.06	10.39	10.67	10.53	10.61	10.55	10.69	10.44	10.92	10.94	10.76	10.42	10.53	10.32	10.43	10.61
"AT5G09230"	8.2	8.06	8.2	7.93	7.82	7.71	7.5	7.13	7.01	7.12	7.43	7.5	7.48	7.27	7.06	7.03	7.16	7.24
"AT5G09240"	4.91	5.02	5.03	5.18	5.49	5.91	6.12	6.19	6.32	6.53	6.32	6.55	6.66	7.08	7.05	7.38	7.39	7.31
"AT5G09250"	6.8	7.14	7.28	7.19	7.19	7.19	7.29	7.47	7.29	7.49	7.44	7.51	7.63	8.1	7.9	7.96	7.8	7.96
"AT5G09270"	5.91	6.31	6.67	6.83	6.93	7	7.02	7.23	7.45	7.45	7.53	7.62	7.99	8.3	8.29	8.77	8.73	8.67
"AT5G09290"	4.92	4.61	4.46	4.56	4.35	4.28	4.58	4.57	4.66	5.03	5.05	4.81	5.03	4.97	5.25	5.54	5.34	5.37
"AT5G09300"	6.97	7.05	6.43	6.17	6.03	5.83	5.63	5.65	5.55	5.85	5.69	5.83	6.14	6.48	6.76	7.37	7.23	7.45
"AT5G09310"	8.53	8.42	8.46	8.38	8.28	8.34	8.3	8.37	8.39	8.38	8.33	8.19	8.17	8.23	8.2	8.35	8.38	8.53
"AT5G09320"	4.36	4.4	4.44	4.65	4.55	4.74	4.64	4.74	4.8	4.87	4.91	4.98	4.82	4.86	4.96	4.92	4.78	4.84
"AT5G09330"	8.33	8.3	8.32	8.19	8.18	8.07	8.04	8.17	8.11	8.05	8.02	7.9	8.02	8.07	7.98	8.07	8.13	8.07
"AT5G09340"	3.01	3.01	2.98	3.13	2.85	3.01	2.97	2.94	2.93	3	2.97	3.05	3.01	2.89	2.91	2.8	3.02	2.94
"AT5G09380"	5.22	5.89	5.89	5.96	6.01	6.12	6.18	6.35	6.53	6.4	6.34	6.46	6.94	7.22	7.2	7.21	7.03	7.07
"AT5G09390"	8.06	7.97	7.93	7.98	7.76	7.76	7.66	7.76	7.75	7.98	8.01	7.92	7.83	7.83	7.87	7.93	7.82	7.82
"AT5G09400"	4.84	4.85	4.64	4.81	4.72	4.62	4.64	4.54	4.6	4.76	4.41	4.26	4.42	4.26	4.29	4.28	4.38	4.26
"AT5G09410"	7.29	7.24	7.39	7.39	7.55	7.51	7.49	7.55	7.53	7.67	7.54	7.61	7.53	7.58	7.47	7.65	7.81	7.78
"AT5G09420"	5.37	5.74	6.05	5.9	6.09	6.21	6.39	6.43	6.4	5.93	5.97	6.15	6.66	7.01	7.1	7.02	7.07	7.07
"AT5G09430"	3.64	4.1	3.41	3.38	3.29	3.16	3.11	3.19	3.18	3.28	3.29	3.26	3.19	3.28	3.23	3.16	3.27	3.34
"AT5G09440"	11.59	11.88	10.97	10.37	9.28	8.47	8.29	8.02	7.79	8.12	7.7	7.58	7.1	7.01	7.07	7.2	7.4	7.46
"AT5G09450"	6.58	6.46	6.56	6.2	6.89	7.01	7.21	7.1	7.09	6.78	6.97	6.99	7.19	7.31	7.24	7.29	7.45	7.44
"AT5G09460"	5.79	5.65	5.47	5.62	6.21	6.5	6.58	6.54	6.63	6.55	6.68	6.64	6.8	6.91	6.88	6.82	6.64	6.54
"AT5G09470"	3.62	3.72	3.52	3.51	3.43	3.46	3.44	3.36	3.27	3.35	3.43	3.24	3.38	3.15	3.18	3.27	3.18	3.23
"AT5G09480"	4.04	4.11	4.34	8.51	10.92	12.03	12.34	12.32	12.07	11.87	11.75	11.76	11.61	11.51	11.11	10.52	10.22	9.52
"AT5G09500"	3.72	3.75	3.77	4.12	4.27	4.18	4.02	3.95	3.82	3.74	3.88	3.88	4	4.06	4.15	4.34	4.29	4.33
"AT5G09510"	6.12	7.12	7.53	7.56	7.77	8.08	8.19	8.5	8.76	8.74	8.93	9.08	9.32	9.48	9.69	9.81	9.69	9.71
"AT5G09520"	4	4.77	8.25	10.26	11.64	11.77	11.43	10.27	9.39	9.71	10.14	10.69	10.11	8.97	8.24	6.52	6.76	7.18
"AT5G09530"	3.89	4.72	8.45	11.54	13.21	13.41	13.36	12.84	12.24	12.25	12.52	12.72	12.45	11.69	11.22	9.97	9.7	9.47
"AT5G09550"	3.45	3.45	3.42	3.37	3.45	3.23	3.21	3.38	3.24	3.19	3.2	3.36	3.26	3.29	3.28	3.09	3.27	3.24
"AT5G09570"	4.43	4.38	4.37	4.31	4.5	4.52	4.35	4.36	4.36	4.46	4.26	4.29	4.46	4.59	5	5.83	6.01	5.84
"AT5G09590"	8.49	8.48	8.9	8.81	9.01	9.18	9.15	9.04	9.1	8.29	8.66	8.85	9.26	9.47	9.41	9.42	9.52	9.38
"AT5G09620"	9.24	9.19	9.26	9.13	9.08	8.99	8.95	9	8.89	8.75	8.96	9.12	9.07	8.95	8.9	8.81	8.89	8.76
"AT5G09630"	4.33	4.39	4.38	4.38	4.43	4.25	4.35	4.39	4.43	4.6	4.54	4.41	4.31	4.31	4.44	4.23	4.36	4.3
"AT5G09650"	9.65	9.68	9.87	9.74	9.89	10.13	10.24	10.27	10.17	9.75	9.86	9.94	9.98	10.16	10.21	10.26	10.23	10.31
"AT5G09660"	4.49	4.45	4.35	4.34	4.15	4.3	4.08	4.02	3.9	4.04	4.08	4.1	4.02	3.92	3.96	3.81	3.97	4.03
"AT5G09690"	6.62	6.34	6.44	6.26	6.19	6.1	6.27	6.45	6.31	6.21	6.15	6.12	6.1	6.05	5.95	5.8	6.12	6.02
"AT5G09740"	6.34	6.34	6.42	6.12	6.37	6.42	6.49	6.51	6.53	6.31	6.35	6.36	6.29	6.4	6.09	6.06	6.3	6.35
"AT5G09760"	9.8	9.44	9.53	9.32	9.22	9.11	8.86	8.93	8.7	8.07	8.27	8.2	8.37	8.53	8.44	8.12	8.11	7.95
"AT5G09770"	6.46	7.12	7.33	7.33	7.79	7.98	7.83	8.16	8.38	8.55	8.6	8.58	8.83	9.09	9.29	9.46	9.48	9.46
"AT5G09790"	5.07	5.41	5.01	5.65	5.52	5.73	5.76	5.93	6	6.17	6.04	6.12	6.29	6.22	6.37	6.47	6.42	6.36
"AT5G09800"	6.15	7.37	7.23	7.29	7.35	7.32	7.28	7.39	7.18	6.84	6.85	6.65	6.73	6.68	6.68	6	5.79	5.71
"AT5G09810"	10.43	10.47	10.53	10.63	10.79	10.89	11.05	11.04	11.15	10.89	11.09	11.16	11.41	11.49	11.53	11.55	11.56	11.58
"AT5G09830"	7.68	7.65	7.85	7.87	7.88	7.83	7.89	8.08	8.14	7.99	7.94	8.06	7.93	8.01	7.97	8.14	8.17	8.23
"AT5G09840"	3.09	3.68	3.97	3.88	3.98	4.15	4.18	4.29	4.5	4.16	4.41	4.54	4.95	5.25	5.58	5.53	5.64	5.68
"AT5G09850"	8.6	8.58	8.46	8.41	8.5	8.55	8.55	8.44	8.37	8.17	8.4	8.39	8.34	8.24	8.27	8.34	8.17	8.27
"AT5G09860"	6.54	6.77	6.96	6.98	7.08	7.17	7.18	7.28	7.27	7.38	7.4	7.38	7.47	7.71	7.7	7.67	7.66	7.57
"AT5G09870"	8.17	8.02	8.07	7.94	7.82	7.74	7.7	7.5	7.33	6.93	7.32	7.64	7.48	7.38	7.18	6.99	6.92	6.9
"AT5G09880"	7.66	7.77	7.89	7.83	7.96	7.95	8.04	8.11	8.06	7.82	7.98	7.94	8.1	8.16	8.08	8.17	8.24	8.41
"AT5G09890"	8.18	8.29	7.92	7.81	7.91	7.91	8.06	8	8	7.93	8.07	8.06	8.21	8.27	8.33	8.55	8.57	8.53
"AT5G09900"	10.35	10.32	10.32	10.28	10.12	10.01	9.96	9.9	10.05	10.04	10.13	10.19	10.3	10.32	10.37	10.6	10.38	10.55
"AT5G09930"	3.69	3.86	3.59	3.63	3.86	3.79	3.63	3.66	3.48	3.65	3.57	3.52	3.6	3.7	3.65	3.47	3.68	3.55
"AT5G09950"	3.52	3.52	3.5	3.6	3.69	3.64	3.6	3.71	3.66	3.78	3.66	3.64	3.77	3.8	3.67	3.9	3.93	3.9
"AT5G09980"	5.77	5.45	5.51	6.19	5.26	5.22	4.92	4.87	4.5	4.75	4.54	4.5	4.63	4.74	4.99	5.98	6.07	6.69
"AT5G09990"	3.36	3.5	3.28	3.17	3.17	3.04	2.84	2.81	2.78	2.93	2.8	2.97	2.91	2.91	2.95	2.88	2.91	2.86
"AT5G10010"	6.63	6.89	7.31	7.37	7.26	7.35	7.4	7.59	7.72	7.44	7.75	7.77	8.12	8.25	8.48	8.56	8.28	8.54
"AT5G10020"	6.29	6.17	6.11	6.05	6.3	6.48	6.3	6.45	6.46	6.21	6.32	6.42	6.48	6.63	6.68	6.89	6.96	6.92
"AT5G10030"	7.94	8.04	7.51	6.9	7.27	7.51	7.6	7.44	7.07	6.33	6.55	6.77	6.97	7.06	7	6.39	6.3	6.22
"AT5G10070"	7.68	7.72	7.84	7.75	7.83	7.74	7.86	7.83	7.84	7.87	7.91	8.04	8.19	8.33	8.28	8.25	8.26	8.29
"AT5G10100"	4.98	4.65	4.09	4.39	4.08	4.15	4.03	4.47	4.9	5.38	5.96	6.3	6.12	6.17	5.79	5.88	6.14	6.31
"AT5G10130"	3.94	3.84	3.64	3.64	3.57	3.53	3.64	3.38	3.61	3.93	4.4	3.93	3.95	3.88	4.21	4.79	5.17	5.44
"AT5G10140"	4.55	4.73	4.79	5.22	5.27	5.12	5.19	5.4	5.25	6.03	5.65	6.17	5.11	5.2	5.03	4.65	4.4	4.66
"AT5G10160"	8.21	8.34	8.41	8.63	8.97	9.11	9.12	9.04	8.96	8.92	8.86	8.92	9.21	9.34	9.23	9.36	9.43	9.6
"AT5G10170"	6.45	6.11	6.51	7.06	7.37	7.41	7.67	7.78	7.85	7.04	7.43	7.35	7.69	7.51	7.62	7.64	7.74	7.92
"AT5G10180"	4.83	4.54	4.79	4.96	5.87	6.33	6.57	6.54	6.54	5.31	5.54	5.64	6.97	7.27	7.13	7.03	6.99	7.14
"AT5G10190"	5.35	5.1	5.33	5.51	5.59	5.71	5.91	5.9	6.12	6.1	6.12	5.75	5.96	5.83	5.81	5.91	5.99	5.92
"AT5G10210"	6.47	6.34	6.72	7.05	6.92	7.43	7.81	8.3	8.35	7.99	8.26	8.45	8.62	8.74	8.76	8.35	8.34	8.44
"AT5G10230"	5.45	5	8.02	9.21	9.58	9.7	9.79	9.37	9.16	8.95	9.1	9.15	8.72	8.34	8.1	6.72	6.52	6.08
"AT5G10240"	6.5	6.8	6.94	6.68	6.83	7.02	7.05	7.25	7.41	7.28	7.4	7.5	7.9	8.04	8.14	8.52	8.35	8.46
"AT5G10260"	4.55	4.48	3.7	3.41	3.12	3.18	3.06	3.18	3.18	3.37	3.25	3.2	3.34	3.27	3.44	3.57	3.61	3.9
"AT5G10280"	7.21	7.71	7.05	7.01	7.65	7.79	7.92	7.82	7.57	7.48	7.07	6.86	6.77	6.57	6.25	6.03	5.91	5.9
"AT5G10290"	7.8	7.77	7.93	7.69	7.95	8.28	8.33	8.32	8.06	7.61	7.88	7.7	7.55	7.46	7.44	7.04	7.17	7.08
"AT5G10300"	5.97	5.94	6.3	6.92	6.89	6.88	6.69	6.66	6.71	6.82	6.7	7.04	7.12	7.11	7.13	7.25	7.24	7.33
"AT5G10310"	3.31	3.3	3.2	3.3	3.3	3.38	3.56	3.7	4.02	3.89	4.13	4.28	4.21	4.21	4.01	3.88	3.86	3.91
"AT5G10320"	3.74	3.69	3.97	4.09	4.21	4.27	4.34	4.26	4.52	4.67	4.67	4.42	4.46	4.48	4.65	4.88	4.81	5.09
"AT5G10350"	7.9	7.93	8.08	8	8.1	8.15	8.27	8.39	8.42	8.39	8.44	8.36	8.49	8.65	8.79	8.95	9.06	9.03
"AT5G10360"	9.4	10.01	10.34	10.38	10.85	11	11.09	11.33	11.47	11.38	11.52	11.58	11.89	11.99	12	12.04	12.11	12.06
"AT5G10390"	5.07	5.44	6.66	7.57	8.13	8.15	8.22	8.45	8.67	8.81	8.73	9.07	9.33	9.71	9.96	9.94	9.83	9.87
"AT5G10400"	5.56	5.73	6.41	7.58	8	8.44	8.58	8.88	9.26	9.32	9.32	9.46	9.76	10.09	9.97	10.41	10.26	10.26
"AT5G10430"	6.52	7.35	5.26	5.17	5.02	4.51	4.34	4.61	5.09	5.13	5.42	5.55	6.25	6.54	6.87	7.58	7.76	8.19
"AT5G10440"	4.25	4.19	4.04	4.14	3.97	3.95	3.89	3.89	3.76	3.98	3.9	3.91	3.96	4.01	4.04	4.18	4.09	4.3
"AT5G10450"	11.63	11.65	11.64	11.66	11.53	11.44	11.39	11.31	11.45	11.85	11.8	11.55	11.17	11.02	11.01	10.96	11.09	11.14
"AT5G10460"	8.15	8.03	7.98	7.97	7.88	7.8	7.9	7.79	7.97	8.13	8.16	8.07	7.88	7.84	7.85	8	7.99	8.09
"AT5G10470"	8.45	8.3	8.73	8.55	8.44	7.99	7.82	7.36	7.19	6.89	7.2	7.48	7.34	7.04	6.85	6.58	6.63	6.64
"AT5G10480"	9.37	9.52	10.46	11.14	11.46	11.2	11.04	10.6	10.46	10.24	10.5	10.39	10.34	10.22	10.08	9.94	10	10.07
"AT5G10490"	7.42	7.4	7.38	7.34	7.25	6.98	6.93	6.75	6.82	6.92	6.99	6.87	6.63	6.44	6.42	6.5	6.33	6.27
"AT5G10510"	4.36	5.22	6.3	6.37	6.7	6.82	7.1	7.36	7.72	7.85	7.94	7.85	8.46	8.77	8.84	8.81	8.72	8.63
"AT5G10520"	7.01	8.12	6.46	5.98	6.07	5.82	6.11	6.35	6.23	6.34	6.04	5.32	5.27	5.2	5.3	5.05	5.22	5.2
"AT5G10540"	7.99	8.09	8.25	8.2	8.29	8.36	8.35	8.38	8.52	8.5	8.52	8.43	8.5	8.64	8.73	8.66	8.89	8.91
"AT5G10560"	6.99	6.74	7.34	7.33	7.37	7.48	7.53	7.6	7.73	7.65	7.73	7.7	7.53	7.55	7.72	8.02	8.04	8.09
"AT5G10580"	9.83	9.18	9.72	9.89	10.25	10.44	10.58	10.77	10.79	10.56	10.41	10.21	10.22	10.21	10.18	9.95	9.9	9.52
"AT5G10620"	3.89	3.89	3.9	3.93	4.03	4.18	4.13	4.1	4.19	4.26	4.27	4.48	4.59	4.67	4.55	4.8	5	5.01
"AT5G10650"	7.01	7.11	6.68	6.33	6.07	5.86	5.74	5.56	5.8	6.04	5.97	5.68	5.26	5.02	4.92	4.82	4.7	4.63
"AT5G10690"	6.07	5.94	5.96	5.82	5.71	5.63	5.75	5.62	5.65	5.85	5.86	5.8	5.75	5.76	5.75	6.07	5.98	6.05
"AT5G10700"	6.27	6.33	6.33	6.22	6.48	6.41	6.27	6.53	6.47	6.93	6.71	6.58	6.69	6.74	6.67	6.78	7.03	6.87
"AT5G10710"	7.1	7.12	7.24	7.26	7.39	7.42	7.32	7.38	7.47	7.65	7.45	7.5	7.46	7.58	7.61	7.78	7.71	7.73
"AT5G10720"	4.47	4.97	4.81	4.54	4.58	4.58	4.62	4.69	4.81	4.94	5.22	4.77	4.74	4.78	4.93	5.51	5.66	5.87
"AT5G10730"	9.06	8.92	9.07	8.9	8.68	8.56	8.34	8.03	7.97	8.02	8.13	8.29	8.45	8.41	8.31	8.38	8.43	8.58
"AT5G10740"	8.21	8.17	7.97	7.84	7.83	7.83	7.75	7.72	7.54	7.47	7.36	7.4	7.18	7.24	7.04	6.97	7.04	6.86
"AT5G10750"	8.58	8.45	8.46	8.45	8.16	8.17	8.08	8.01	7.99	7.92	7.94	7.89	7.89	7.88	7.93	7.73	7.61	7.51
"AT5G10770"	6.5	6.61	6.17	6.03	5.64	5.92	6.39	6.53	6.22	6.77	7.16	7.62	7.1	6.27	6.2	5.84	6.26	5.53
"AT5G10780"	9.24	9.14	9.28	9.21	9.19	9.09	9.21	9.36	9.42	9.43	9.33	9.33	9.37	9.37	9.34	9.51	9.58	9.74
"AT5G10790"	6.41	6.31	5.99	6.03	6.21	6.14	6.07	6.11	6.21	6.17	6.16	6	5.76	5.51	5.72	5.81	5.85	5.79
"AT5G10810"	7.7	7.64	8	8.14	8.11	8.36	8.38	8.41	8.46	8.47	8.48	8.45	8.51	8.59	8.43	8.49	8.5	8.54
"AT5G10820"	8.75	8.86	8.91	8.98	9.15	9.13	9.18	9.03	8.69	8.45	8.4	8.35	8.4	8.32	7.98	7.8	7.73	7.71
"AT5G10830"	10.72	10.85	10.39	10.01	9.51	9.28	9.23	9.1	8.78	8.72	8.47	8.58	8.89	8.79	8.92	8.83	8.89	8.97
"AT5G10840"	7.8	7.71	7.99	8.07	8.29	8.4	8.44	8.56	8.6	8.4	8.5	8.56	8.88	8.98	8.93	9.04	9.14	9.05
"AT5G10850"	5.76	5.79	5.53	5.49	5.59	6.02	5.99	6.06	6.09	6.25	6.26	6.45	6.78	7.15	7.18	7.25	7.2	7.11
